GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared gs coauthors,shared sv coauthors
modellingmicroglialinnateimmunememoryinvitrounderstandingtheroleofaerobicglycolysisininnateimmunememory,Modelling Microglial Innate Immune Memory In Vitro: Understanding the Role of Aerobic Glycolysis in Innate Immune Memory,"['Annie Vogel Ciernia', 'Brian MacVicar']",,,,effectsofexpectationonplaceboinduceddopaminereleaseinparkinsondisease,Effects of expectation on placebo-induced dopamine release in Parkinson disease,"['A Jon Stoessl OR jon Stoessl', 'Anthony Phillips', 'Vesna Sossi']","['A. Jon Stoessl', 'Anthony G. Phillips', 'Vesna Sossi']"
tauimaginginatypicalparkinsonismpreliminaryevidencewith11cpbb3petinpspsubjectss5001,Tau Imaging in Atypical Parkinsonism: Preliminary Evidence with [11C] PBB3 PET in PSP Subjects (S5. 001),"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,positronemissiontomographyinparkinsonsdisease,Positron emission tomography in Parkinson’s disease,"['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']","['A. Jon Stoessl', 'Silke Appel-Cresswell']"
olfactoryensheathingcellproducedsparcmodulatesschwanncellactivationtopromoteneuriteoutgrowthandspinalcordrepair,Olfactory ensheathing cell-produced SPARC modulates Schwann cell activation to promote neurite outgrowth and spinal cord repair,"['Wolfram Tetzlaff', 'A. Jane Roskams']",,,,undesiredeffectsofacombinatorialtreatmentforspinalcordinjurytransplantationofolfactoryensheathingcellsandbdnfinfusiontotherednucleus,Undesired effects of a combinatorial treatment for spinal cord injury - Transplantation of olfactory ensheathing cells and BDNF infusion to the red nucleus,"['Wolfram Tetzlaff', 'A. Jane Roskams']","['Wolfram G. Tetzlaff', 'Angela Jane I. Roskams']"
multimodelfunctionalizationof106ptenmissensemutationsidentifiesmultiplemolecularmechanismsunderlyingproteindysfunction,Multi-Model Functionalization of 106 PTEN Missense Mutations Identifies Multiple Molecular Mechanisms Underlying Protein Dysfunction,"['Shernaz Bamji', 'Paul Pavlidis', 'Kurt Haas', 'Rankin Catharine H']",,,,exerciseincreasescaudatedopaminereleaseandventralstriatalactivationinparkinsonsdisease,Exercise increases caudate dopamine release and ventral striatal activation in Parkinson's disease,"['Lara Boyd', 'Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']","['Lara A. Boyd', 'Martin McKeown', 'A. Jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']"
learningeffectplaysasignificantroleinperformanceonthemontrealcognitiveassessmentinpatientswithparkinsonsdisease,Learning effect plays a significant role in performance on the Montreal cognitive assessment in patients with Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']",,,,invivomeasurementofldopauptakedopaminereserveandturnoverintheratbrainusing18ffdopapet,"In-vivo measurement of LDOPA uptake, dopamine reserve and turnover in the rat brain using [<sup>18</sup>F]FDOPA PET","['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
remappingoffmrifunctionalconnectivityduringrestingstateinmultiplesclerosisrepresentscompensatorymechanismsp6146,Remapping of fMRI functional connectivity during resting state in multiple sclerosis represents compensatory mechanisms (P6. 146),"['Martin J. McKeown', 'Z. Jane Wang']",,,,fdgpetinpresymptomaticc9orf72mutationcarriers,FDG-PET in presymptomatic C9orf72 mutation carriers,"['Ian Mackenzie', 'Vesna Sossi']","['Ian Mackenzie', 'Vesna Sossi']"
rigidityinparkinsonsdiseaseisassociatedwithadistributedmotorsubnetwork,Rigidity in Parkinson's disease is associated with a distributed motor subnetwork,"['Martin J. McKeown', 'Z. Jane Wang']",,,,endocannabinoidspecificimpairmentinsynapticplasticityinstriatumofhuntingtonsdiseasemousemodel,Endocannabinoid-specific impairment in synaptic plasticity in striatum of huntington’s disease mouse model,"['Lynn A Raymond', 'Jeffrey LeDue']","['Lynn A. Raymond', 'Jeffrey M. LeDue']"
durationdependentstriataldopamineterminallossinparkinsondiseaselevelsoffatdifferentdegreesofseverityonthetwosides11cdtbzpetevidencefortheevent,"Duration-dependent, striatal dopamine terminal loss in Parkinson disease levels off at different degrees of severity on the two sides: 11C-DTBZ PET evidence for the' event …","['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,earlyincreaseinextrasynapticnmdareceptorsignalingandexpressioncontributestophenotypeonsetinhuntingtonsdiseasemice,Early Increase in Extrasynaptic NMDA Receptor Signaling and Expression Contributes to Phenotype Onset in Huntington's Disease Mice,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
distinctspatiotemporalpatternsofputuminaldopamineprocessinginparkinsonsdiseaseamultitracerpositronemissiontomographystudy,Distinct spatio-temporal patterns of putuminal dopamine processing in Parkinson's disease: A multi-tracer positron emission tomography study,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,longitudinalmonitoringofmesoscopiccorticalactivityinamousemodelofmicroinfarctsrevealsdissociationswithbehavioralandmotorfunction,Longitudinal monitoring of mesoscopic cortical activity in a mouse model of microinfarcts reveals dissociations with behavioral and motor function,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
reestablishmentofcorticalmotoroutputmapsandspontaneousfunctionalrecoveryviaspareddorsolaterallyprojectingcorticospinalneuronsafterdorsalcolumnspinalcord,Re-establishment of cortical motor output maps and spontaneous functional recovery via spared dorsolaterally projecting corticospinal neurons after dorsal column spinal cord …,"['Tim H. Murphy', 'Wolfram Tetzlaff']",,,,extendedtreatmentwithglialcelllinederivedneurotrophicfactorinparkinsonsdisease,Extended Treatment with Glial Cell Line-Derived Neurotrophic Factor in Parkinson's Disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
presymptomaticc9orf72mutationcarriersshowadiffusepatternofglucosemetabolicreductionson18ffdgpetimaging,Presymptomatic C9ORF72 mutation carriers show a diffuse pattern of glucose metabolic reductions on [18] F-FDG-PET imaging,"['A Jon Stoessl OR jon Stoessl', 'Ian Mackenzie', 'Vesna Sossi']",,,,ministrokesinchannelrhodopsin2transgenicmicerevealwidespreaddeficitsinmotoroutputdespitemaintenanceofcorticalneuronalexcitability,Ministrokes in channelrhodopsin-2 transgenic mice reveal widespread deficits in motor output despite maintenance of cortical neuronal excitability,"['Tim H. Murphy', 'Wolfram Tetzlaff']","['Timothy H. Murphy', 'Wolfram G. Tetzlaff']"
exercisealtersresponseofrewardanticipationintheventralstriatumofsubjectswithparkinsonsdisease,Exercise alters response of reward anticipation in the ventral striatum of subjects with Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']",,,,ageandseverityofnigrostriataldamageatonsetofparkinsonsdisease,Age and severity of nigrostriatal damage at onset of Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
optogeneticactivationofmousecorticalinhibitoryinterneuronsissufficienttoincreaselocalbloodflow,Optogenetic activation of mouse cortical inhibitory interneurons is sufficient to increase local blood flow,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,temporaldynamicsofhippocampalandmedialprefrontalcortexinteractionsduringthedelayperiodofaworkingmemoryguidedforagingtask,Temporal Dynamics of Hippocampal and Medial Prefrontal Cortex Interactions during the Delay Period of a Working Memory-Guided Foraging Task,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
endocannabinoidspecificimpairmentinsynapticplasticityinstriatumofhuntingtonsdiseasemousemodelvol38pg5442018,"Endocannabinoid-Specific Impairment in Synaptic Plasticity in Striatum of Huntington's Disease Mouse Model (vol 38, pg 544, 2018)","['Lynn A Raymond', 'Jeffrey LeDue']",,,,preventionoflpsinducedmicrogliaactivationcytokineproductionandsicknessbehaviorwithtlr4receptorinterferingpeptides,"Prevention of LPS-Induced Microglia Activation, Cytokine Production and Sickness Behavior with TLR4 Receptor Interfering Peptides","['Brian MacVicar', 'Anthony Phillips']","['Brian A. MacVicar', 'Anthony G. Phillips']"
semipflpersonalizedsemisupervisedfederatedlearningframeworkforedgeintelligence,SemiPFL: Personalized Semi-Supervised Federated Learning Framework for Edge Intelligence,"['Z. Jane Wang', 'Peyman Servati']",,,,petdemonstratesreduceddopaminetransporterexpressioninpdwithdyskinesias,PET demonstrates reduced dopamine transporter expression in PD with dyskinesias,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
universityofbritishcolumbia,University of British Columbia,"['Martin J. McKeown', 'Brian D. Fisher']",,,,imagingstriataldopaminergicfunctioninphospholipasea2groupvirelatedparkinsonism,Imaging striatal dopaminergic function in Phospholipase A2 Group VI-related parkinsonism,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
alteredrestingstatefunctionalinterhemisphericconnectivityinparkinsonsdisease,Altered resting-state functional interhemispheric connectivity in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']",,,,falsediscoveryratecontrollerforfunctionalbrainparcellation,False discovery rate controller for functional brain parcellation,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
improvedmethodsforlongitudinalmotormappingafterstrokeinmiceautomatedmovementtrackingwithaccelerometersandchroniceegrecordinginabilateralcranialwindow,"Improved Methods for Longitudinal Motor Mapping After Stroke in Mice: Automated Movement Tracking with Accelerometers, and Chronic EEG Recording in a Bilateral Cranial Window …","['Tim H. Murphy', 'Jeffrey LeDue']",,,,petstudyoftheeffectsofvalproateondopamined2receptorsinneurolepticandmoodstabilizernaivepatientswithnonpsychoticmania,PET study of the effects of valproate on dopamine D<inf>2</inf> receptors in neuroleptic- and mood-stabilizer-naive patients with nonpsychotic mania,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
researchday2010,RESEARCH DAY 2010,"['Fidel Vila-Rodriguez', 'Todd S. Woodward']",,,,selectiverolesforhippocampalprefrontalcorticalandventralstriatalcircuitsinradialarmmazetaskswithorwithoutadelay,"Selective roles for hippocampal, prefrontal cortical, and ventral striatal circuits in radial-arm maze tasks with or without a delay","['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
protectiveeffectofketogenicdietonneuropathologyandbehaviorafterrepetitivemildtraumaticbraininjuryusingchimerainjuvenilemice,Protective effect of ketogenic diet on neuropathology and behavior after repetitive mild traumatic brain injury using CHIMERA in juvenile mice,"['Peter Cripton', 'Wolfram Tetzlaff']",,,,actionandoutcomeactivitystatepatternsintheanteriorcingulatecortex,Action and outcome activity state patterns in the anterior cingulate cortex,"['Jeremy K Seamans', 'Todd S. Woodward']","['Jeremy Keith Seamans', 'Todd Stephen Woodward']"
uniformrateofprogressioninsubregionsoftheputameninparkinsonsdiseaseevidenceforthedissociationbetweentheetiologyandpathogenesis,Uniform rate of progression in subregions of the putamen in Parkinson's disease: evidence for the dissociation between the etiology and pathogenesis,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,spontaneouscorticalactivityalternatesbetweenmotifsdefinedbyregionalaxonalprojections,Spontaneous cortical activity alternates between motifs defined by regional axonal projections,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'YuTian Wang', 'Jeffrey M. LeDue']"
longitudinalchangesincaudatedopamineprocessinginparkinsonsdiseaseamultitracerpetstudys33005,Longitudinal Changes in Caudate Dopamine Processing in Parkinson's Disease: A Multi-Tracer PET Study (S33. 005),"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,increasingtheeffectsizeineventrelatedfmristudies,Increasing the effect size in event-related fMRI studies,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
correlationanalysisbetweendopaminereleaseinstriatalsubregionsandmotorimpairmentinparkinsonsdiseasesubjects,Correlation analysis between dopamine release in striatal sub-regions and motor impairment in Parkinson's disease subjects,"['Lara Boyd', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,amphetamineexertsdosedependentchangesinprefrontalcortexattractordynamicsduringworkingmemory,Amphetamine exerts dose-dependent changes in prefrontal cortex attractor dynamics during working memory,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
searchgoalsandthebrain,"Search, goals and the brain","['Catharine A. Winstanley', 'Jeremy K Seamans']",,,,parcellationofthehumanhippocampusbasedongraymattervolumecovariancereplicableresultsonhealthyyoungadults,Parcellation of the human hippocampus based on gray matter volume covariance: Replicable results on healthy young adults,"['Fidel Vila-Rodriguez', 'Z. Jane Wang']","['Fidel Vila-Rodriguez', 'Z. Jane Wang']"
neurophotonicstutorialonmakingconnectivitydiagramsfromchannelrhodopsin2stimulateddata,Neurophotonics tutorial on making connectivity diagrams from Channelrhodopsin-2 stimulated data,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,psychoticsymptomsinfrontotemporaldementiawithtdp43tendtobeassociatedwithtypebpathology,Psychotic symptoms in frontotemporal dementia with TDP-43 tend to be associated with type B pathology,"['Fidel Vila-Rodriguez', 'Ian Mackenzie']","['Fidel Vila-Rodriguez', 'Ian Mackenzie']"
increaseddopamineturnoverapossiblecontributortotheincreasedriskofparkinsonsdiseaseinlrrk2mutationcarriers,Increased dopamine turnover: A possible contributor to the increased risk of Parkinson's disease in LRRK2 mutation carriers,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,optogeneticstimulationofgabaneuronscandecreaselocalneuronalactivitywhileincreasingcorticalbloodflow,Optogenetic stimulation of GABA neurons can decrease local neuronal activity while increasing cortical blood flow,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
multimodalimagingofsubstantianigrainparkinsonsdiseasewithlevodopainduceddyskinesia,Multimodal Imaging of Substantia Nigra in Parkinson's Disease with Levodopa‐Induced Dyskinesia,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,multimodelfunctionalizationofdiseaseassociatedptenmissensemutationsidentifiesmultiplemolecularmechanismsunderlyingproteindysfunction,Multi-model functionalization of disease-associated PTEN missense mutations identifies multiple molecular mechanisms underlying protein dysfunction,"['Shernaz Bamji', 'Paul Pavlidis', 'Kurt Haas', 'Rankin Catharine H']","['Shernaz X. Bamji', 'Paul Pavlidis', 'Kurt Haas', 'Catharine Rankin']"
25thannualcomputationalneurosciencemeetingcns2016,25th annual computational neuroscience meeting: CNS-2016,"['Sophia Frangou', 'Eric Shea-Brown']",,,,ageneralizedmultivariateautoregressivegmarbasedapproachforeegsourceconnectivityanalysis,A generalized multivariate autoregressive (GmAR)-based approach for EEG source connectivity analysis,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
investigationofmutationrelatedcovariancepatterninasymptomaticcarriersofgrnandc9orf72mutationsusingf18fdgpet,Investigation of mutation related covariance pattern in asymptomatic carriers of GRN and C9ORF72 mutations using [F18]-FDG PET,"['A Jon Stoessl OR jon Stoessl', 'Ian Mackenzie', 'Vesna Sossi']",,,,jointpatternanalysisappliedtopetdatandvmat2imagingrevealsnewinsightsintoparkinsonsdiseaseinducedpresynapticalterations,Joint pattern analysis applied to PET DAT and VMAT2 imaging reveals new insights into Parkinson's disease induced presynaptic alterations,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A. Jon Stoessl', 'Vesna Sossi']"
dopamineresponsetoahedonicstimulusnaturalrewardapetstudy,Dopamine response to a hedonic stimulus/natural reward: A PET study,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']",,,,cystineglutamateexchangemodulatesglutathionesupplyforneuroprotectionfromoxidativestressandcellproliferation,Cystine/glutamate exchange modulates glutathione supply for neuroprotection from oxidative stress and cell proliferation,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
developmentofamousemodelofdiffusemicroinfarctionandautomatedassessmenttoolsformonitoringrecovery,Development of a Mouse Model of Diffuse Microinfarction and Automated Assessment Tools for Monitoring Recovery,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,noniterativemultimodalpartialviewtofullviewimageregistrationusinglocalphasebasedimageprojections,Non-iterative multi-modal partial view to full view image registration using local phase-based image projections,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
examiningdopaminergicandclinicaldifferencesbetweenhabitualexercisersandsedentaryindividualswithparkinsonsdisease,Examining dopaminergic and clinical differences between habitual exercisers and sedentary individuals with Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']",,,,spatiotemporalpatternsofputaminaldopamineprocessinginparkinsonsdiseaseamultitracerpositronemissiontomographystudy,Spatiotemporal patterns of putaminal dopamine processing in Parkinson's disease: A multi-tracer positron emission tomography study,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'Vesna Sossi']"
impulsivestealinginparkinsonsdiseasepdthefirstcaseassociatedwithdopaminergicmedication,Impulsive stealing in Parkinson's disease (PD): The first case associated with dopaminergic medication,"['Martin J. McKeown', 'Silke Appel-Cresswell']",,,,petinlrrk2mutationscomparisontosporadicparkinsonsdiseaseandevidenceforpresymptomaticcompensation,PET in LRRK2 mutations: Comparison to sporadic Parkinson's disease and evidence for presymptomatic compensation,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
1114visuallydependentdirectionaleegconnectivitychangesinparkinsonsdiseaseatrest,"1.114 VISUALLY-DEPENDENT, DIRECTIONAL EEG CONNECTIVITY CHANGES IN PARKINSON'S DISEASE AT REST","['Martin J. McKeown', 'Z. Jane Wang']",,,,dopaminetransporterrelationtodopamineturnoverinparkinsonsdiseaseapositronemissiontomographystudy,Dopamine transporter relation to dopamine turnover in Parkinson's disease: A positron emission tomography study,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
striatalandcorticalelevationsinserotonintransporterbindingprecedemotoronsetinasymptomaticpatientswithlrrk2genemutations,Striatal and cortical elevations in serotonin transporter binding precede motor onset in asymptomatic patients with lrrk2 gene mutations,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,thecellularmechanismsofneuronalswellingunderlyingcytotoxicedema,The cellular mechanisms of neuronal swelling underlying cytotoxic edema,"['Brian MacVicar', 'Snutch']","['Brian A. MacVicar', 'Terrance P. Snutch']"
graphicalmodelsoffunctionalmridataforassessingbrainconnectivity,Graphical Models of Functional MRI Data for Assessing Brain Connectivity,"['Martin J. McKeown', 'Z. Jane Wang']",,,,noveldatadrivenequationfreemethodcapturesspatiotemporalpatternsofneurodegenerationinparkinsonsdiseaseapplicationofdynamicmodedecompositiontopet,"Novel data-driven, equation-free method captures spatio-temporal patterns of neurodegeneration in Parkinson's disease: Application of dynamic mode decomposition to PET","['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A. Jon Stoessl', 'Vesna Sossi']"
systematicphenomicsanalysisofasdassociatedgenesrevealssharedfunctionsand,Systematic phenomics analysis of ASD-associated genes reveals shared functions and,"['Paul Pavlidis', 'Kurt Haas', 'Rankin Catharine H']",,,,ketamineanditsmetabolite2r6rhnkrestorehippocampalltpandlongtermspatialmemoryinthewistarkyotoratmodelofdepression,"Ketamine and its metabolite, (2R,6R)-HNK, restore hippocampal LTP and long-term spatial memory in the Wistar-Kyoto rat model of depression","['Anthony Phillips', 'Yu Tian Wang']","['Anthony G. Phillips', 'YuTian Wang']"
abayesiannetworkapproachforpredictionoffuturedementiainparkinsonsdisease,A bayesian network approach for prediction of future dementia in Parkinson's disease,"['Martin J. McKeown', 'Silke Appel-Cresswell']",,,,synapticdysfunctioninprogranulindeficientmice,Synaptic dysfunction in progranulin-deficient mice,"['Ian Mackenzie', 'Lynn A Raymond']","['Ian Mackenzie', 'Lynn A. Raymond']"
hiddenmarkovmultivariateautoregressivehmmmarmodelingofdynamicmuscleassociationpatternsinreachingmovements,Hidden Markov multivariate autoregressive (HMM-mAR) modeling of dynamic muscle association patterns in reaching movements,"['Martin J. McKeown', 'Z. Jane Wang']",,,,locallineardiscriminantanalysislldaforgroupandregionofinterestroibasedfmrianalysis,Local Linear Discriminant Analysis (LLDA) for group and region of interest (ROI)-based fMRI analysis,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
screeningforcognitiveimpairmentwiththemontrealcognitiveassessmentinparkinsonsdiseasepatients,Screening for Cognitive Impairment with the Montreal Cognitive Assessment in Parkinson's Disease Patients,"['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']",,,,autosomaldominantdystoniapluswithcerebralcalcifications,Autosomal dominant dystonia-plus with cerebral calcifications,"['A Jon Stoessl OR jon Stoessl', 'Ian Mackenzie']","['A. Jon Stoessl', 'Ian Mackenzie']"
amultimodaldatafusionapproachefficientlypredictsdiseasedurationinmultiplesclerosis,A Multimodal data fusion approach efficiently predicts disease duration in multiple sclerosis,"['Martin J. McKeown', 'Z. Jane Wang']",,,,progranulinpromotesactivationofmicrogliamacrophageafterpilocarpineinducedstatusepilepticus,Progranulin promotes activation of microglia/macrophage after pilocarpine-induced status epilepticus,"['Brian MacVicar', 'Yu Tian Wang']","['Brian A. MacVicar', 'YuTian Wang']"
invivochannelrhodopsin2stimulationandvoltagesensitivedyeimaginginamousemodelofstrokerevealspreservedfunctionalconnectionsposteriortothelesion,In Vivo Channelrhodopsin-2 Stimulation and Voltage-Sensitive Dye Imaging in a Mouse Model of Stroke Reveals Preserved Functional Connections Posterior to the Lesion,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,hydroxynorketamineimplicationsforthenmdareceptorhypothesisofketaminesantidepressantaction,Hydroxynorketamine: Implications for the NMDA Receptor Hypothesis of Ketamine’s Antidepressant Action,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony G. Phillips', 'YuTian Wang']"
theapplicationofpetimagingtolrrk2rodentmodelsofpd,The application of PET imaging to LRRK2 rodent models of PD,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,mitigationofaugmentedextrasynapticnmdarsignalingandapoptosisincorticostriatalcoculturesfromhuntingtonsdiseasemice,Mitigation of augmented extrasynaptic NMDAR signaling and apoptosis in cortico-striatal co-cultures from Huntington's disease mice,"['Yu Tian Wang', 'Lynn A Raymond']","['YuTian Wang', 'Lynn A. Raymond']"
theeffectsofsensoryrewardcuesonriskydecisionmakinginparkinsonsdisease,The effects of sensory reward cues on risky decision making in Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Catharine A. Winstanley', 'Silke Appel-Cresswell']",,,,highspeedfluoroscopytomeasuredynamicspinalcorddeformationinaninvivoratmodel,High-Speed Fluoroscopy to Measure Dynamic Spinal Cord Deformation in an in Vivo Rat Model,"['Peter Cripton', 'Wolfram Tetzlaff']","['P. A. Cripton', 'Wolfram G. Tetzlaff']"
asingleboutofcyclingexerciseimprovesmoodandmotorfunctioninparkinsonsdisease,A single bout of cycling exercise improves mood and motor function in Parkinson's disease,"['Martin J. McKeown', 'Silke Appel-Cresswell']",,,,asymptoticanalysisofthehuberizedlassoestimator,Asymptotic analysis of the Huberized LASSO estimator,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
s10203generationandcharacterizationofamousemodelofprogranulindeficiency,S1‐02‐03: Generation and characterization of a mouse model of progranulin deficiency,"['Ian Mackenzie', 'Lynn A Raymond']",,,,exploringtheexpressionpatternsofpalmitoylatinganddepalmitoylatingenzymesinthemousebrainusingthecuratedrnaseqdatabasebrainpalmseq,Exploring the expression patterns of palmitoylating and de-palmitoylating enzymes in the mouse brain using the curated RNA-seq database BrainPalmSeq,"['Shernaz Bamji', 'Kurt Haas']","['Shernaz X. Bamji', 'Kurt Haas']"
riskpromotingeffectsofrewardpairedcuesinhumansignandgoaltrackers,Risk-Promoting Effects of Reward-Paired Cues in Human Sign-and Goal-Trackers,"['A Jon Stoessl OR jon Stoessl', 'Catharine A. Winstanley']",,,,aglobalcttousregistrationofthelumbarspine,A global CT to US registration of the lumbar spine,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
increasedneuroinflammationinasymptomaticlrrk2mutationcarriersapilotpetimagingstudyp4321,Increased Neuroinflammation in Asymptomatic LRRK2 Mutation Carriers: A Pilot PET Imaging Study (P4. 321),"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,atridirectionalmethodforcorticomuscularcouplinganalysisinparkinsonsdisease,A tridirectional method for corticomuscular coupling analysis in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
braincommunicationsaincommunications,BRAIN COMMUNICATIONS AIN COMMUNICATIONS,"['Brian MacVicar', 'Snutch', 'Ian Mackenzie']",,,,highthroughputautomatedhomecagemesoscopicfunctionalimagingofmousecortex,High-throughput automated home-cage mesoscopic functional imaging of mouse cortex,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
comparisonofagerelatedchangesinthenormalstriatumbetweendopaminergicpettracersevidenceforthedownregulationofdopaminetransporterswithaging,Comparison of age-related changes in the normal striatum between dopaminergic PET tracers: evidence for the downregulation of dopamine transporters with aging,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,decreasedsubregionalspecificityoftheputameninparkinsonsdiseaserevealedbydynamicconnectivityderivedparcellation,Decreased subregional specificity of the putamen in Parkinson's Disease revealed by dynamic connectivity-derived parcellation,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
amontecarloapproachforimprovingtransientdopaminereleasedetectionsensitivity,A Monte Carlo approach for improving transient dopamine release detection sensitivity,"['Catharine A. Winstanley', 'Vesna Sossi']",,,,pbb3bindinginapatientwithcorticobasalsyndrome,PBB3 binding in a patient with corticobasal syndrome,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
neuralnetmodelinsightsintobasalgangliafunction,NEURAL-NET MODEL INSIGHTS INTO BASAL GANGLIA FUNCTION,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl']",,,,postsynaptictrkcandpresynapticptpσfunctionasabidirectionalexcitatorysynapticorganizingcomplex,Postsynaptic TrkC and presynaptic PTPσ function as a bidirectional excitatory synaptic organizing complex,"['Tim H. Murphy', 'Yu Tian Wang']","['Timothy H. Murphy', 'YuTian Wang']"
