GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared sv title,shared gs coauthors,shared sv coauthors
brainglucosemetabolicabnormalitiesdifferbetweenpredementiacarriersofgrnandc9orf72mutations,Brain glucose metabolic abnormalities differ between predementia carriers of GRN and C9ORF72 mutations,"['A Jon Stoessl OR jon Stoessl', 'Ian Mackenzie', 'Vesna Sossi']",,,,serotoninanddopaminetransporterpetchangesinthepremotorphaseoflrrk2parkinsonismcrosssectionalstudies,Serotonin and dopamine transporter PET changes in the premotor phase of LRRK2 parkinsonism: cross-sectional studies,Serotonin and dopamine transporter PET changes in the premotor phase of LRRK2 parkinsonism: cross-sectional studies,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
criticalperiodforstimulationduringdevelopment,Critical Period for Stimulation During Development,"['Rankin Catharine H', 'Liisa Galea']",,,,cerebrospinalfluidamyloidβandtauinlrrk2mutationcarriers,Cerebrospinal fluid amyloid β and tau in LRRK2 mutation carriers,Cerebrospinal fluid amyloid β and tau in LRRK2 mutation carriers,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
effectsofintermittentthetaburststimulationoncognitivefunctioningandhippocampalvolumesinbipolardepression,Effects of intermittent theta burst stimulation on cognitive functioning and hippocampal volumes in bipolar depression,"['Fidel Vila-Rodriguez', 'Sophia Frangou']",,,,largecovariancematrixestimationbridgingshrinkageandtaperingapproaches,Large covariance matrix estimation: Bridging shrinkage and tapering approaches,Large covariance matrix estimation: Bridging shrinkage and tapering approaches,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
ajournaldevotedtofunconalneuroanatomyandneuroimaging,A Journal Devoted to Funconal Neuroanatomy and Neuroimaging,"['Sophia Frangou', 'Anthony Randal McIntosh']",,,,insightsintolrrk2mutationrelatedpdfrompetimagingstudies,Insights into LRRK2-Mutation Related PD from PET Imaging Studies,Insights into LRRK2-Mutation Related PD from PET Imaging Studies,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
effectofaveragekineticparametersingraphicalestimationofdistributionvolumeratiosofthreereversibleligands,Effect of average kinetic parameters in graphical estimation of distribution volume ratios of three reversible ligands,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,sparcfromolfactoryensheathingcellsstimulatesschwanncellstopromoteneuriteoutgrowthandenhancesspinalcordrepair,SPARC from olfactory ensheathing cells stimulates Schwann cells to promote neurite outgrowth and enhances spinal cord repair,SPARC from olfactory ensheathing cells stimulates schwann cells to promote neurite outgrowth and enhances spinal cord repair,"['Wolfram Tetzlaff', 'A. Jane Roskams']","['Wolfram G. Tetzlaff', 'Angela Jane I. Roskams']"
strategiestoreducescanningtimeinreceptorimagingwithpositronemissiontomography,Strategies to reduce scanning time in receptor imaging with Positron Emission Tomography,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,peripheralnerveligationelicitswidespreadalterationsincorticalsensoryevokedandspontaneousactivity,Peripheral nerve ligation elicits widespread alterations in cortical sensory evoked and spontaneous activity,Peripheral Nerve Ligation Elicits Widespread Alterations in Cortical Sensory Evoked and Spontaneous Activity,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
autosomaldominantparkinsonismassociatedwithanewlydescribedmutationindnajc13clinicalimagingandpathologicaldescriptions13002,"Autosomal-Dominant Parkinsonism Associated with a Newly Described Mutation in DNAJC13: Clinical, Imaging and Pathological Description (S13. 002)","['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']",,,,regulationofhippocampalexcitatorysynapsesbythezdhhc5palmitoylacyltransferase,Regulation of hippocampal excitatory synapses by the Zdhhc5 palmitoyl acyltransferase,Regulation of hippocampal excitatory synapses by the Zdhhc5 palmitoyl acyltransferase,"['Shernaz Bamji', 'Lynn A Raymond']","['Shernaz X. Bamji', 'Lynn A. Raymond']"
mechanismsofalterednmethyldaspartatereceptormediatedcalciumsignalingintheyacmousemodelofhuntingtonsdisease,Mechanisms of altered N-methyl-D-aspartate receptor-mediated calcium signaling in the YAC mouse model of Huntington's disease,"['Tim H. Murphy', 'Lynn A Raymond']",,,,pqtypecalciumchannelsmediatetheactivitydependentfeedbackofsyntaxin1a,P/Q-type calcium channels mediate the activity-dependent feedback of syntaxin-1A,P/Q-type calcium channels mediate the activity-dependent feedback of syntaxin-1A,"['Tim H. Murphy', 'Snutch']","['Timothy H. Murphy', 'Terrance P. Snutch']"
characterizingpetimagesusing3dspatialinformationinterventioninducedraclopridebindingchanges,Characterizing PET images using 3D spatial information: Intervention-induced raclopride binding changes,"['Silke Appel-Cresswell', 'Vesna Sossi']",,,,brainconnectivityassessedwithfunctionalmri,Brain Connectivity Assessed with Functional MRI,Brain connectivity assessed with functional MRI,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
modellingmicroglialinnateimmunememoryinvitrounderstandingtheroleofaerobicglycolysisininnateimmunememory,Modelling Microglial Innate Immune Memory In Vitro: Understanding the Role of Aerobic Glycolysis in Innate Immune Memory,"['Annie Vogel Ciernia', 'Brian MacVicar']",,,,compensatorymotornetworkconnectivityisassociatedwithmotorsequencelearningaftersubcorticalstroke,Compensatory motor network connectivity is associated with motor sequence learning after subcortical stroke,Compensatory motor network connectivity is associated with motor sequence learning after subcortical stroke,"['Lara Boyd', 'Todd S. Woodward']","['Lara A. Boyd', 'Todd Stephen Woodward']"
tauimaginginatypicalparkinsonismpreliminaryevidencewith11cpbb3petinpspsubjectss5001,Tau Imaging in Atypical Parkinsonism: Preliminary Evidence with [11C] PBB3 PET in PSP Subjects (S5. 001),"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,effectsofexpectationonplaceboinduceddopaminereleaseinparkinsondisease,Effects of expectation on placebo-induced dopamine release in Parkinson disease,Effects of expectation on placebo-induced dopamine release in Parkinson disease,"['A Jon Stoessl OR jon Stoessl', 'Anthony Phillips', 'Vesna Sossi']","['A. Jon Stoessl', 'Anthony G. Phillips', 'Vesna Sossi']"
olfactoryensheathingcellproducedsparcmodulatesschwanncellactivationtopromoteneuriteoutgrowthandspinalcordrepair,Olfactory ensheathing cell-produced SPARC modulates Schwann cell activation to promote neurite outgrowth and spinal cord repair,"['Wolfram Tetzlaff', 'A. Jane Roskams']",,,,positronemissiontomographyinparkinsonsdisease,Positron emission tomography in Parkinson’s disease,Positron emission tomography in Parkinson’s disease,"['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']","['A. Jon Stoessl', 'Silke Appel-Cresswell']"
multimodelfunctionalizationof106ptenmissensemutationsidentifiesmultiplemolecularmechanismsunderlyingproteindysfunction,Multi-Model Functionalization of 106 PTEN Missense Mutations Identifies Multiple Molecular Mechanisms Underlying Protein Dysfunction,"['Shernaz Bamji', 'Paul Pavlidis', 'Kurt Haas', 'Rankin Catharine H']",,,,undesiredeffectsofacombinatorialtreatmentforspinalcordinjurytransplantationofolfactoryensheathingcellsandbdnfinfusiontotherednucleus,Undesired effects of a combinatorial treatment for spinal cord injury–transplantation of olfactory ensheathing cells and BDNF infusion to the red nucleus,Undesired effects of a combinatorial treatment for spinal cord injury - Transplantation of olfactory ensheathing cells and BDNF infusion to the red nucleus,"['Wolfram Tetzlaff', 'A. Jane Roskams']","['Wolfram G. Tetzlaff', 'Angela Jane I. Roskams']"
learningeffectplaysasignificantroleinperformanceonthemontrealcognitiveassessmentinpatientswithparkinsonsdisease,Learning effect plays a significant role in performance on the Montreal cognitive assessment in patients with Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']",,,,exerciseincreasescaudatedopaminereleaseandventralstriatalactivationinparkinsonsdisease,Exercise increases caudate dopamine release and ventral striatal activation in Parkinson's disease,Exercise increases caudate dopamine release and ventral striatal activation in Parkinson's disease,"['Lara Boyd', 'Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']","['Lara A. Boyd', 'Martin McKeown', 'A. Jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']"
remappingoffmrifunctionalconnectivityduringrestingstateinmultiplesclerosisrepresentscompensatorymechanismsp6146,Remapping of fMRI functional connectivity during resting state in multiple sclerosis represents compensatory mechanisms (P6. 146),"['Martin J. McKeown', 'Z. Jane Wang']",,,,invivomeasurementofldopauptakedopaminereserveandturnoverintheratbrainusing18ffdopapet,"In-vivo Measurement of LDOPA Uptake, Dopamine Reserve and Turnover in the Rat Brain Using [18F]FDOPA PET","In-vivo measurement of LDOPA uptake, dopamine reserve and turnover in the rat brain using [<sup>18</sup>F]FDOPA PET","['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
rigidityinparkinsonsdiseaseisassociatedwithadistributedmotorsubnetwork,Rigidity in Parkinson's disease is associated with a distributed motor subnetwork,"['Martin J. McKeown', 'Z. Jane Wang']",,,,fdgpetinpresymptomaticc9orf72mutationcarriers,FDG-PET in presymptomatic C9orf72 mutation carriers,FDG-PET in presymptomatic C9orf72 mutation carriers,"['Ian Mackenzie', 'Vesna Sossi']","['Ian Mackenzie', 'Vesna Sossi']"
durationdependentstriataldopamineterminallossinparkinsondiseaselevelsoffatdifferentdegreesofseverityonthetwosides11cdtbzpetevidencefortheevent,"Duration-dependent, striatal dopamine terminal loss in Parkinson disease levels off at different degrees of severity on the two sides: 11C-DTBZ PET evidence for the' event …","['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,endocannabinoidspecificimpairmentinsynapticplasticityinstriatumofhuntingtonsdiseasemousemodel,Endocannabinoid-specific impairment in synaptic plasticity in striatum of Huntington's disease mouse model,Endocannabinoid-specific impairment in synaptic plasticity in striatum of huntington’s disease mouse model,"['Lynn A Raymond', 'Jeffrey LeDue']","['Lynn A. Raymond', 'Jeffrey M. LeDue']"
distinctspatiotemporalpatternsofputuminaldopamineprocessinginparkinsonsdiseaseamultitracerpositronemissiontomographystudy,Distinct spatio-temporal patterns of putuminal dopamine processing in Parkinson's disease: A multi-tracer positron emission tomography study,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,earlyincreaseinextrasynapticnmdareceptorsignalingandexpressioncontributestophenotypeonsetinhuntingtonsdiseasemice,Early increase in extrasynaptic NMDA receptor signaling and expression contributes to phenotype onset in Huntington's disease mice,Early Increase in Extrasynaptic NMDA Receptor Signaling and Expression Contributes to Phenotype Onset in Huntington's Disease Mice,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
reestablishmentofcorticalmotoroutputmapsandspontaneousfunctionalrecoveryviaspareddorsolaterallyprojectingcorticospinalneuronsafterdorsalcolumnspinalcord,Re-establishment of cortical motor output maps and spontaneous functional recovery via spared dorsolaterally projecting corticospinal neurons after dorsal column spinal cord …,"['Tim H. Murphy', 'Wolfram Tetzlaff']",,,,longitudinalmonitoringofmesoscopiccorticalactivityinamousemodelofmicroinfarctsrevealsdissociationswithbehavioralandmotorfunction,Longitudinal monitoring of mesoscopic cortical activity in a mouse model of microinfarcts reveals dissociations with behavioral and motor function,Longitudinal monitoring of mesoscopic cortical activity in a mouse model of microinfarcts reveals dissociations with behavioral and motor function,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
presymptomaticc9orf72mutationcarriersshowadiffusepatternofglucosemetabolicreductionson18ffdgpetimaging,Presymptomatic C9ORF72 mutation carriers show a diffuse pattern of glucose metabolic reductions on [18] F-FDG-PET imaging,"['A Jon Stoessl OR jon Stoessl', 'Ian Mackenzie', 'Vesna Sossi']",,,,bayesiannetworkmodelingfordiscoveringdependentsynergiesamongmusclesinreachingmovements,Bayesian network modeling for discovering “dependent synergies” among muscles in reaching movements,"Bayesian network modeling for discovering ""dependent synergies"" among muscles in reaching movements","['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
exercisealtersresponseofrewardanticipationintheventralstriatumofsubjectswithparkinsonsdisease,Exercise alters response of reward anticipation in the ventral striatum of subjects with Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']",,,,extendedtreatmentwithglialcelllinederivedneurotrophicfactorinparkinsonsdisease,Extended treatment with glial cell line-derived neurotrophic factor in Parkinson’s disease,Extended Treatment with Glial Cell Line-Derived Neurotrophic Factor in Parkinson's Disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
optogeneticactivationofmousecorticalinhibitoryinterneuronsissufficienttoincreaselocalbloodflow,Optogenetic activation of mouse cortical inhibitory interneurons is sufficient to increase local blood flow,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,ministrokesinchannelrhodopsin2transgenicmicerevealwidespreaddeficitsinmotoroutputdespitemaintenanceofcorticalneuronalexcitability,Ministrokes in channelrhodopsin-2 transgenic mice reveal widespread deficits in motor output despite maintenance of cortical neuronal excitability,Ministrokes in channelrhodopsin-2 transgenic mice reveal widespread deficits in motor output despite maintenance of cortical neuronal excitability,"['Tim H. Murphy', 'Wolfram Tetzlaff']","['Timothy H. Murphy', 'Wolfram G. Tetzlaff']"
endocannabinoidspecificimpairmentinsynapticplasticityinstriatumofhuntingtonsdiseasemousemodelvol38pg5442018,"Endocannabinoid-Specific Impairment in Synaptic Plasticity in Striatum of Huntington's Disease Mouse Model (vol 38, pg 544, 2018)","['Lynn A Raymond', 'Jeffrey LeDue']",,,,ageandseverityofnigrostriataldamageatonsetofparkinsonsdisease,Age and severity of nigrostriatal damage at onset of Parkinson's disease,Age and severity of nigrostriatal damage at onset of Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
semipflpersonalizedsemisupervisedfederatedlearningframeworkforedgeintelligence,SemiPFL: Personalized Semi-Supervised Federated Learning Framework for Edge Intelligence,"['Z. Jane Wang', 'Peyman Servati']",,,,temporaldynamicsofhippocampalandmedialprefrontalcortexinteractionsduringthedelayperiodofaworkingmemoryguidedforagingtask,Temporal dynamics of hippocampal and medial prefrontal cortex interactions during the delay period of a working memory-guided foraging task,Temporal Dynamics of Hippocampal and Medial Prefrontal Cortex Interactions during the Delay Period of a Working Memory-Guided Foraging Task,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
universityofbritishcolumbia,University of British Columbia,"['Martin J. McKeown', 'Brian D. Fisher']",,,,preventionoflpsinducedmicrogliaactivationcytokineproductionandsicknessbehaviorwithtlr4receptorinterferingpeptides,"Prevention of LPS-induced microglia activation, cytokine production and sickness behavior with TLR4 receptor interfering peptides","Prevention of LPS-Induced Microglia Activation, Cytokine Production and Sickness Behavior with TLR4 Receptor Interfering Peptides","['Brian MacVicar', 'Anthony Phillips']","['Brian A. MacVicar', 'Anthony G. Phillips']"
alteredrestingstatefunctionalinterhemisphericconnectivityinparkinsonsdisease,Altered resting-state functional interhemispheric connectivity in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']",,,,petdemonstratesreduceddopaminetransporterexpressioninpdwithdyskinesias,PET demonstrates reduced dopamine transporter expression in PD with dyskinesias,PET demonstrates reduced dopamine transporter expression in PD with dyskinesias,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
improvedmethodsforlongitudinalmotormappingafterstrokeinmiceautomatedmovementtrackingwithaccelerometersandchroniceegrecordinginabilateralcranialwindow,"Improved Methods for Longitudinal Motor Mapping After Stroke in Mice: Automated Movement Tracking with Accelerometers, and Chronic EEG Recording in a Bilateral Cranial Window …","['Tim H. Murphy', 'Jeffrey LeDue']",,,,imagingstriataldopaminergicfunctioninphospholipasea2groupvirelatedparkinsonism,Imaging striatal dopaminergic function in Phospholipase A2 Group VI–related parkinsonism,Imaging striatal dopaminergic function in Phospholipase A2 Group VI-related parkinsonism,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
researchday2010,RESEARCH DAY 2010,"['Fidel Vila-Rodriguez', 'Todd S. Woodward']",,,,falsediscoveryratecontrollerforfunctionalbrainparcellation,False discovery rate controller for functional brain parcellation,False discovery rate controller for functional brain parcellation,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
protectiveeffectofketogenicdietonneuropathologyandbehaviorafterrepetitivemildtraumaticbraininjuryusingchimerainjuvenilemice,Protective effect of ketogenic diet on neuropathology and behavior after repetitive mild traumatic brain injury using CHIMERA in juvenile mice,"['Peter Cripton', 'Wolfram Tetzlaff']",,,,petstudyoftheeffectsofvalproateondopamined2receptorsinneurolepticandmoodstabilizernaivepatientswithnonpsychoticmania,PET study of the effects of valproate on dopamine D2 receptors in neuroleptic-and mood-stabilizer-naive patients with nonpsychotic mania,PET study of the effects of valproate on dopamine D<inf>2</inf> receptors in neuroleptic- and mood-stabilizer-naive patients with nonpsychotic mania,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
uniformrateofprogressioninsubregionsoftheputameninparkinsonsdiseaseevidenceforthedissociationbetweentheetiologyandpathogenesis,Uniform rate of progression in subregions of the putamen in Parkinson's disease: evidence for the dissociation between the etiology and pathogenesis,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,selectiverolesforhippocampalprefrontalcorticalandventralstriatalcircuitsinradialarmmazetaskswithorwithoutadelay,"Selective roles for hippocampal, prefrontal cortical, and ventral striatal circuits in radial-arm maze tasks with or without a delay","Selective roles for hippocampal, prefrontal cortical, and ventral striatal circuits in radial-arm maze tasks with or without a delay","['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
longitudinalchangesincaudatedopamineprocessinginparkinsonsdiseaseamultitracerpetstudys33005,Longitudinal Changes in Caudate Dopamine Processing in Parkinson's Disease: A Multi-Tracer PET Study (S33. 005),"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,actionandoutcomeactivitystatepatternsintheanteriorcingulatecortex,Action and outcome activity state patterns in the anterior cingulate cortex,Action and outcome activity state patterns in the anterior cingulate cortex,"['Jeremy K Seamans', 'Todd S. Woodward']","['Jeremy Keith Seamans', 'Todd Stephen Woodward']"
correlationanalysisbetweendopaminereleaseinstriatalsubregionsandmotorimpairmentinparkinsonsdiseasesubjects,Correlation analysis between dopamine release in striatal sub-regions and motor impairment in Parkinson's disease subjects,"['Lara Boyd', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,spontaneouscorticalactivityalternatesbetweenmotifsdefinedbyregionalaxonalprojections,Spontaneous cortical activity alternates between motifs defined by regional axonal projections,Spontaneous cortical activity alternates between motifs defined by regional axonal projections,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'YuTian Wang', 'Jeffrey M. LeDue']"
searchgoalsandthebrain,"Search, goals and the brain","['Catharine A. Winstanley', 'Jeremy K Seamans']",,,,increasingtheeffectsizeineventrelatedfmristudies,Increasing the effect size in event-related fMRI studies,Increasing the effect size in event-related fMRI studies,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
neurophotonicstutorialonmakingconnectivitydiagramsfromchannelrhodopsin2stimulateddata,Neurophotonics tutorial on making connectivity diagrams from Channelrhodopsin-2 stimulated data,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,amphetamineexertsdosedependentchangesinprefrontalcortexattractordynamicsduringworkingmemory,Amphetamine exerts dose-dependent changes in prefrontal cortex attractor dynamics during working memory,Amphetamine exerts dose-dependent changes in prefrontal cortex attractor dynamics during working memory,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
increaseddopamineturnoverapossiblecontributortotheincreasedriskofparkinsonsdiseaseinlrrk2mutationcarriers,Increased dopamine turnover: A possible contributor to the increased risk of Parkinson's disease in LRRK2 mutation carriers,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,parcellationofthehumanhippocampusbasedongraymattervolumecovariancereplicableresultsonhealthyyoungadults,Parcellation of the human hippocampus based on gray matter volume covariance: Replicable results on healthy young adults,Parcellation of the human hippocampus based on gray matter volume covariance: Replicable results on healthy young adults,"['Fidel Vila-Rodriguez', 'Z. Jane Wang']","['Fidel Vila-Rodriguez', 'Z. Jane Wang']"
multimodalimagingofsubstantianigrainparkinsonsdiseasewithlevodopainduceddyskinesia,Multimodal Imaging of Substantia Nigra in Parkinson's Disease with Levodopa‐Induced Dyskinesia,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,psychoticsymptomsinfrontotemporaldementiawithtdp43tendtobeassociatedwithtypebpathology,Psychotic symptoms in frontotemporal dementia with TDP‐43 tend to be associated with type B pathology,Psychotic symptoms in frontotemporal dementia with TDP-43 tend to be associated with type B pathology,"['Fidel Vila-Rodriguez', 'Ian Mackenzie']","['Fidel Vila-Rodriguez', 'Ian Mackenzie']"
25thannualcomputationalneurosciencemeetingcns2016,25th annual computational neuroscience meeting: CNS-2016,"['Sophia Frangou', 'Eric Shea-Brown']",,,,optogeneticstimulationofgabaneuronscandecreaselocalneuronalactivitywhileincreasingcorticalbloodflow,Optogenetic stimulation of GABA neurons can decrease local neuronal activity while increasing cortical blood flow,Optogenetic stimulation of GABA neurons can decrease local neuronal activity while increasing cortical blood flow,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
investigationofmutationrelatedcovariancepatterninasymptomaticcarriersofgrnandc9orf72mutationsusingf18fdgpet,Investigation of mutation related covariance pattern in asymptomatic carriers of GRN and C9ORF72 mutations using [F18]-FDG PET,"['A Jon Stoessl OR jon Stoessl', 'Ian Mackenzie', 'Vesna Sossi']",,,,multimodelfunctionalizationofdiseaseassociatedptenmissensemutationsidentifiesmultiplemolecularmechanismsunderlyingproteindysfunction,Multi-model functionalization of disease-associated PTEN missense mutations identifies multiple molecular mechanisms underlying protein dysfunction,Multi-model functionalization of disease-associated PTEN missense mutations identifies multiple molecular mechanisms underlying protein dysfunction,"['Shernaz Bamji', 'Paul Pavlidis', 'Kurt Haas', 'Rankin Catharine H']","['Shernaz X. Bamji', 'Paul Pavlidis', 'Kurt Haas', 'Catharine Rankin']"
dopamineresponsetoahedonicstimulusnaturalrewardapetstudy,Dopamine response to a hedonic stimulus/natural reward: A PET study,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']",,,,ageneralizedmultivariateautoregressivegmarbasedapproachforeegsourceconnectivityanalysis,A generalized multivariate autoregressive (GmAR)-based approach for EEG source connectivity analysis,A generalized multivariate autoregressive (GmAR)-based approach for EEG source connectivity analysis,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
developmentofamousemodelofdiffusemicroinfarctionandautomatedassessmenttoolsformonitoringrecovery,Development of a Mouse Model of Diffuse Microinfarction and Automated Assessment Tools for Monitoring Recovery,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,jointpatternanalysisappliedtopetdatandvmat2imagingrevealsnewinsightsintoparkinsonsdiseaseinducedpresynapticalterations,Joint pattern analysis applied to PET DAT and VMAT2 imaging reveals new insights into Parkinson's disease induced presynaptic alterations,Joint pattern analysis applied to PET DAT and VMAT2 imaging reveals new insights into Parkinson's disease induced presynaptic alterations,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A. Jon Stoessl', 'Vesna Sossi']"
examiningdopaminergicandclinicaldifferencesbetweenhabitualexercisersandsedentaryindividualswithparkinsonsdisease,Examining dopaminergic and clinical differences between habitual exercisers and sedentary individuals with Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']",,,,cystineglutamateexchangemodulatesglutathionesupplyforneuroprotectionfromoxidativestressandcellproliferation,Cystine/glutamate exchange modulates glutathione supply for neuroprotection from oxidative stress and cell proliferation,Cystine/glutamate exchange modulates glutathione supply for neuroprotection from oxidative stress and cell proliferation,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
impulsivestealinginparkinsonsdiseasepdthefirstcaseassociatedwithdopaminergicmedication,Impulsive stealing in Parkinson's disease (PD): The first case associated with dopaminergic medication,"['Martin J. McKeown', 'Silke Appel-Cresswell']",,,,noniterativemultimodalpartialviewtofullviewimageregistrationusinglocalphasebasedimageprojections,Non-iterative multi-modal partial view to full view image registration using local phase-based image projections,Non-iterative multi-modal partial view to full view image registration using local phase-based image projections,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
1114visuallydependentdirectionaleegconnectivitychangesinparkinsonsdiseaseatrest,"1.114 VISUALLY-DEPENDENT, DIRECTIONAL EEG CONNECTIVITY CHANGES IN PARKINSON'S DISEASE AT REST","['Martin J. McKeown', 'Z. Jane Wang']",,,,spatiotemporalpatternsofputaminaldopamineprocessinginparkinsonsdiseaseamultitracerpositronemissiontomographystudy,Spatiotemporal patterns of putaminal dopamine processing in Parkinson’s disease: A multi-tracer positron emission tomography study,Spatiotemporal patterns of putaminal dopamine processing in Parkinson's disease: A multi-tracer positron emission tomography study,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'Vesna Sossi']"
striatalandcorticalelevationsinserotonintransporterbindingprecedemotoronsetinasymptomaticpatientswithlrrk2genemutations,Striatal and cortical elevations in serotonin transporter binding precede motor onset in asymptomatic patients with lrrk2 gene mutations,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,petinlrrk2mutationscomparisontosporadicparkinsonsdiseaseandevidenceforpresymptomaticcompensation,PET in LRRK2 mutations: comparison to sporadic Parkinson's disease and evidence for presymptomatic compensation,PET in LRRK2 mutations: Comparison to sporadic Parkinson's disease and evidence for presymptomatic compensation,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
graphicalmodelsoffunctionalmridataforassessingbrainconnectivity,Graphical Models of Functional MRI Data for Assessing Brain Connectivity,"['Martin J. McKeown', 'Z. Jane Wang']",,,,dopaminetransporterrelationtodopamineturnoverinparkinsonsdiseaseapositronemissiontomographystudy,Dopamine transporter relation to dopamine turnover in Parkinson's disease: a positron emission tomography study,Dopamine transporter relation to dopamine turnover in Parkinson's disease: A positron emission tomography study,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
systematicphenomicsanalysisofasdassociatedgenesrevealssharedfunctionsand,Systematic phenomics analysis of ASD-associated genes reveals shared functions and,"['Paul Pavlidis', 'Kurt Haas', 'Rankin Catharine H']",,,,thecellularmechanismsofneuronalswellingunderlyingcytotoxicedema,The cellular mechanisms of neuronal swelling underlying cytotoxic edema,The cellular mechanisms of neuronal swelling underlying cytotoxic edema,"['Brian MacVicar', 'Snutch']","['Brian A. MacVicar', 'Terrance P. Snutch']"
