Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Language,Citations,Reference,Abstract,DOI,Publication type,Open Access,EID,Institutions,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Author Keyword
A three-step multimodal analysis framework for modeling corticomuscular activity with application to parkinson's disease,"Chen, X., Wang, Z.J., McKeown, M.J.",3,36456894700| 11241026700| 7005375626,2014,2014-01-01,IEEE Journal of Biomedical and Health Informatics,English,16,"Chen, X., Wang, Z.J., McKeown, M.J. (2014).A three-step multimodal analysis framework for modeling corticomuscular activity with application to parkinson's disease. IEEE Journal of Biomedical and Health Informatics,18(4) 1232-1241",https://www.scopus.com/record/display.url?eid=2-s2.0-84903141952&origin=resultslist,10.1109/JBHI.2013.2284480,Article,,2-s2.0-84903141952,University of British Columbia,1,60010365| 60010365,The University of British Columbia| The University of British Columbia,36456894700,7005375626,-,-,Canada,Martin McKeown
A Blind Source Separation Framework for Monitoring Heart Beat Rate Using Nanofiber-Based Strain Sensors,"Zou, L., Chen, X., Servati, A., Soltanian, S., Servati, P., Wang, Z.J.",6,55346583800| 36456894700| 56444420000| 6701733909| 6701751588| 11241026700,2016,2016-02-01,IEEE Sensors Journal,English,16,"Zou, L., Chen, X., Servati, A. and 3 more (...) (2016).A Blind Source Separation Framework for Monitoring Heart Beat Rate Using Nanofiber-Based Strain Sensors. IEEE Sensors Journal,16(3) 762-772",https://www.scopus.com/record/display.url?eid=2-s2.0-84962189506&origin=resultslist,10.1109/JSEN.2015.2490038,Article,,2-s2.0-84962189506,Hefei University of Technology| University of British Columbia,2,60010365| 60002836,The University of British Columbia| Hefei University of Technology,55346583800,11241026700,36456894700,-,China| Canada,Z. Jane Wang
A Blind Source Separation Framework for Monitoring Heart Beat Rate Using Nanofiber-Based Strain Sensors,"Zou, L., Chen, X., Servati, A., Soltanian, S., Servati, P., Wang, Z.J.",6,55346583800| 36456894700| 56444420000| 6701733909| 6701751588| 11241026700,2016,2016-02-01,IEEE Sensors Journal,English,16,"Zou, L., Chen, X., Servati, A. and 3 more (...) (2016).A Blind Source Separation Framework for Monitoring Heart Beat Rate Using Nanofiber-Based Strain Sensors. IEEE Sensors Journal,16(3) 762-772",https://www.scopus.com/record/display.url?eid=2-s2.0-84962189506&origin=resultslist,10.1109/JSEN.2015.2490038,Article,,2-s2.0-84962189506,Hefei University of Technology| University of British Columbia,2,60010365| 60002836,The University of British Columbia| Hefei University of Technology,55346583800,11241026700,36456894700,-,China| Canada,Peyman Servati
Investigation of serotonergic Parkinson's disease-related covariance pattern using [11C]-DASB/PET,"Fu, J.F., Klyuzhin, I., Liu, S., Shahinfard, E., Vafai, N., McKenzie, J., Neilson, N., Mabrouk, R., Sacheli, M.A., Wile, D., McKeown, M.J., Stoessl, A.J., Sossi, V.",13,57200582147| 55113890800| 57188564716| 34870645400| 17347044800| 7202100222| 57193676918| 44861399900| 49862164000| 55949536700| 7005375626| 7004896118| 56276238300,2018,2018-01-01,NeuroImage: Clinical,English,15,"Fu, J.F., Klyuzhin, I., Liu, S. and 10 more (...) (2018).Investigation of serotonergic Parkinson's disease-related covariance pattern using [11C]-DASB/PET. NeuroImage: Clinical,19652-660",https://www.scopus.com/record/display.url?eid=2-s2.0-85047643915&origin=resultslist,10.1016/j.nicl.2018.05.022,Article,Gold|Green,2-s2.0-85047643915,University of British Columbia| Vancouver Coastal Health| Capital Medical University,3,60010365| 60010365| 60083635| 60005789| 60010365| 60080985| 60012967,"The University of British Columbia| The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| Vancouver Coastal Health| The University of British Columbia| Xuanwu Hospital, Capital Medical University| University of British Columbia Okanagan",57200582147,56276238300,57200582147,-,China| Canada,Martin McKeown
Investigation of serotonergic Parkinson's disease-related covariance pattern using [11C]-DASB/PET,"Fu, J.F., Klyuzhin, I., Liu, S., Shahinfard, E., Vafai, N., McKenzie, J., Neilson, N., Mabrouk, R., Sacheli, M.A., Wile, D., McKeown, M.J., Stoessl, A.J., Sossi, V.",13,57200582147| 55113890800| 57188564716| 34870645400| 17347044800| 7202100222| 57193676918| 44861399900| 49862164000| 55949536700| 7005375626| 7004896118| 56276238300,2018,2018-01-01,NeuroImage: Clinical,English,15,"Fu, J.F., Klyuzhin, I., Liu, S. and 10 more (...) (2018).Investigation of serotonergic Parkinson's disease-related covariance pattern using [11C]-DASB/PET. NeuroImage: Clinical,19652-660",https://www.scopus.com/record/display.url?eid=2-s2.0-85047643915&origin=resultslist,10.1016/j.nicl.2018.05.022,Article,Gold|Green,2-s2.0-85047643915,University of British Columbia| Vancouver Coastal Health| Capital Medical University,3,60010365| 60010365| 60083635| 60005789| 60010365| 60080985| 60012967,"The University of British Columbia| The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| Vancouver Coastal Health| The University of British Columbia| Xuanwu Hospital, Capital Medical University| University of British Columbia Okanagan",57200582147,56276238300,57200582147,-,China| Canada,A. Jon Stoessl
Abnormal phase coupling in Parkinson’s disease and normalization effects of subthreshold vestibular stimulation,"Lee, S., Liu, A., Wang, Z.J., McKeown, M.J.",4,56503487900| 54397386900| 11241026700| 7005375626,2019,2019-02-01,Frontiers in Human Neuroscience,English,15,"Lee, S., Liu, A., Wang, Z.J. and 1 more (...) (2019).Abnormal phase coupling in Parkinson’s disease and normalization effects of subthreshold vestibular stimulation. Frontiers in Human Neuroscience,13",https://www.scopus.com/record/display.url?eid=2-s2.0-85069511029&origin=resultslist,10.3389/fnhum.2019.00118,Article,Gold|Green,2-s2.0-85069511029,University of Science and Technology of China| University of British Columbia,2,60010365| 100349691| 60019118| 60010365| 60010365,The University of British Columbia| Pacific Parkinson's Research Centre| University of Science and Technology of China| The University of British Columbia| The University of British Columbia,56503487900,7005375626,54397386900,-,China| Canada,Z. Jane Wang
Abnormal phase coupling in Parkinson’s disease and normalization effects of subthreshold vestibular stimulation,"Lee, S., Liu, A., Wang, Z.J., McKeown, M.J.",4,56503487900| 54397386900| 11241026700| 7005375626,2019,2019-02-01,Frontiers in Human Neuroscience,English,15,"Lee, S., Liu, A., Wang, Z.J. and 1 more (...) (2019).Abnormal phase coupling in Parkinson’s disease and normalization effects of subthreshold vestibular stimulation. Frontiers in Human Neuroscience,13",https://www.scopus.com/record/display.url?eid=2-s2.0-85069511029&origin=resultslist,10.3389/fnhum.2019.00118,Article,Gold|Green,2-s2.0-85069511029,University of Science and Technology of China| University of British Columbia,2,60010365| 100349691| 60019118| 60010365| 60010365,The University of British Columbia| Pacific Parkinson's Research Centre| University of Science and Technology of China| The University of British Columbia| The University of British Columbia,56503487900,7005375626,54397386900,-,China| Canada,Martin McKeown
Joint pattern analysis applied to PET DAT and VMAT2 imaging reveals new insights into Parkinson's disease induced presynaptic alterations,"Fu, J.F., Klyuzhin, I., McKenzie, J., Neilson, N., Shahinfard, E., Dinelle, K., McKeown, M.J., Stoessl, A.J., Sossi, V.",9,57200582147| 55113890800| 7202100222| 57193676918| 34870645400| 23008057200| 7005375626| 7004896118| 56276238300,2019,2019-01-01,NeuroImage: Clinical,English,15,"Fu, J.F., Klyuzhin, I., McKenzie, J. and 6 more (...) (2019).Joint pattern analysis applied to PET DAT and VMAT2 imaging reveals new insights into Parkinson's disease induced presynaptic alterations. NeuroImage: Clinical,23",https://www.scopus.com/record/display.url?eid=2-s2.0-85065432667&origin=resultslist,10.1016/j.nicl.2019.101856,Article,Gold|Green,2-s2.0-85065432667,University of British Columbia| Vancouver Coastal Health,2,60010365| 60010365| 60010365| 60005789| 60083635,The University of British Columbia| The University of British Columbia| The University of British Columbia| Vancouver Coastal Health| Djavad Mowafaghian Centre for Brain Health,57200582147,56276238300,57200582147,-,Canada,Martin McKeown
Joint pattern analysis applied to PET DAT and VMAT2 imaging reveals new insights into Parkinson's disease induced presynaptic alterations,"Fu, J.F., Klyuzhin, I., McKenzie, J., Neilson, N., Shahinfard, E., Dinelle, K., McKeown, M.J., Stoessl, A.J., Sossi, V.",9,57200582147| 55113890800| 7202100222| 57193676918| 34870645400| 23008057200| 7005375626| 7004896118| 56276238300,2019,2019-01-01,NeuroImage: Clinical,English,15,"Fu, J.F., Klyuzhin, I., McKenzie, J. and 6 more (...) (2019).Joint pattern analysis applied to PET DAT and VMAT2 imaging reveals new insights into Parkinson's disease induced presynaptic alterations. NeuroImage: Clinical,23",https://www.scopus.com/record/display.url?eid=2-s2.0-85065432667&origin=resultslist,10.1016/j.nicl.2019.101856,Article,Gold|Green,2-s2.0-85065432667,University of British Columbia| Vancouver Coastal Health,2,60010365| 60010365| 60010365| 60005789| 60083635,The University of British Columbia| The University of British Columbia| The University of British Columbia| Vancouver Coastal Health| Djavad Mowafaghian Centre for Brain Health,57200582147,56276238300,57200582147,-,Canada,A. Jon Stoessl
Hydroxynorketamine: Implications for the NMDA Receptor Hypothesis of Ketamine’s Antidepressant Action,"Aleksandrova, L.R., Wang, Y.T., Phillips, A.G.",3,55628280800| 8908521300| 7401658611,2017,2017-01-01,Chronic Stress,English,14,"Aleksandrova, L.R., Wang, Y.T., Phillips, A.G. (2017).Hydroxynorketamine: Implications for the NMDA Receptor Hypothesis of Ketamine’s Antidepressant Action. Chronic Stress,1",https://www.scopus.com/record/display.url?eid=2-s2.0-85053984506&origin=resultslist,10.1177/2470547017743511,Review,Gold|Green,2-s2.0-85053984506,University of British Columbia,1,60083635| 60010365| 60010365,Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| The University of British Columbia,55628280800,7401658611,7401658611,-,Canada,YuTian Wang
Hydroxynorketamine: Implications for the NMDA Receptor Hypothesis of Ketamine’s Antidepressant Action,"Aleksandrova, L.R., Wang, Y.T., Phillips, A.G.",3,55628280800| 8908521300| 7401658611,2017,2017-01-01,Chronic Stress,English,14,"Aleksandrova, L.R., Wang, Y.T., Phillips, A.G. (2017).Hydroxynorketamine: Implications for the NMDA Receptor Hypothesis of Ketamine’s Antidepressant Action. Chronic Stress,1",https://www.scopus.com/record/display.url?eid=2-s2.0-85053984506&origin=resultslist,10.1177/2470547017743511,Review,Gold|Green,2-s2.0-85053984506,University of British Columbia,1,60083635| 60010365| 60010365,Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| The University of British Columbia,55628280800,7401658611,7401658611,-,Canada,Anthony G. Phillips
An automated home-cage system to assess learning and performance of a skilled motor task in a mouse model of huntington’s disease,"Woodard, C.L., Bolaños, F., Boyd, J.D., Silasi, G., Murphy, T.H., Raymond, L.A.",6,57188826450| 57189696741| 55439254100| 57203382324| 7401632487| 7102737545,2017,2017-09-01,eNeuro,English,14,"Woodard, C.L., Bolaños, F., Boyd, J.D. and 3 more (...) (2017).An automated home-cage system to assess learning and performance of a skilled motor task in a mouse model of huntington’s disease. eNeuro,4(5)",https://www.scopus.com/record/display.url?eid=2-s2.0-85032167308&origin=resultslist,10.1523/ENEURO.0141-17.2017,Article,Gold|Green,2-s2.0-85032167308,University of Ottawa| University of British Columbia,2,60010365| 60083635| 60010365| 60010365| 60028897,The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| The University of British Columbia| University of Ottawa,57188826450,7102737545,7102737545,-,Canada,Timothy H. Murphy
An automated home-cage system to assess learning and performance of a skilled motor task in a mouse model of huntington’s disease,"Woodard, C.L., Bolaños, F., Boyd, J.D., Silasi, G., Murphy, T.H., Raymond, L.A.",6,57188826450| 57189696741| 55439254100| 57203382324| 7401632487| 7102737545,2017,2017-09-01,eNeuro,English,14,"Woodard, C.L., Bolaños, F., Boyd, J.D. and 3 more (...) (2017).An automated home-cage system to assess learning and performance of a skilled motor task in a mouse model of huntington’s disease. eNeuro,4(5)",https://www.scopus.com/record/display.url?eid=2-s2.0-85032167308&origin=resultslist,10.1523/ENEURO.0141-17.2017,Article,Gold|Green,2-s2.0-85032167308,University of Ottawa| University of British Columbia,2,60010365| 60083635| 60010365| 60010365| 60028897,The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| The University of British Columbia| University of Ottawa,57188826450,7102737545,7102737545,-,Canada,Lynn A. Raymond
Decreased subregional specificity of the putamen in Parkinson's Disease revealed by dynamic connectivity-derived parcellation,"Liu, A., Lin, S.-J., Mi, T., Chen, X., Chan, P., Wang, Z.J., McKeown, M.J.",7,54397386900| 57192660894| 57190021763| 36456894700| 7403497663| 11241026700| 7005375626,2018,2018-01-01,NeuroImage: Clinical,English,13,"Liu, A., Lin, S.-J., Mi, T. and 4 more (...) (2018).Decreased subregional specificity of the putamen in Parkinson's Disease revealed by dynamic connectivity-derived parcellation. NeuroImage: Clinical,201163-1175",https://www.scopus.com/record/display.url?eid=2-s2.0-85055689117&origin=resultslist,10.1016/j.nicl.2018.10.022,Article,Gold|Green,2-s2.0-85055689117,University of Science and Technology of China| University of British Columbia| Capital Medical University,3,100349691| 60010365| 60010365| 60112647| 60080985| 60019118| 60010365,"Pacific Parkinson's Research Centre| The University of British Columbia| The University of British Columbia| Beijing Institute For Brain Disorders| Xuanwu Hospital, Capital Medical University| University of Science and Technology of China| The University of British Columbia",54397386900,7005375626,36456894700,-,China| Canada,Z. Jane Wang
Decreased subregional specificity of the putamen in Parkinson's Disease revealed by dynamic connectivity-derived parcellation,"Liu, A., Lin, S.-J., Mi, T., Chen, X., Chan, P., Wang, Z.J., McKeown, M.J.",7,54397386900| 57192660894| 57190021763| 36456894700| 7403497663| 11241026700| 7005375626,2018,2018-01-01,NeuroImage: Clinical,English,13,"Liu, A., Lin, S.-J., Mi, T. and 4 more (...) (2018).Decreased subregional specificity of the putamen in Parkinson's Disease revealed by dynamic connectivity-derived parcellation. NeuroImage: Clinical,201163-1175",https://www.scopus.com/record/display.url?eid=2-s2.0-85055689117&origin=resultslist,10.1016/j.nicl.2018.10.022,Article,Gold|Green,2-s2.0-85055689117,University of Science and Technology of China| University of British Columbia| Capital Medical University,3,100349691| 60010365| 60010365| 60112647| 60080985| 60019118| 60010365,"Pacific Parkinson's Research Centre| The University of British Columbia| The University of British Columbia| Beijing Institute For Brain Disorders| Xuanwu Hospital, Capital Medical University| University of Science and Technology of China| The University of British Columbia",54397386900,7005375626,36456894700,-,China| Canada,Martin McKeown
In vivo dopaminergic and serotonergic dysfunction in DCTN1 gene mutation carriers,"Felicio, A.C., Dinelle, K., Agarwal, P.A., Mckenzie, J., Heffernan, N., Road, J.D., Appel-Cresswell, S., Wszolek, Z.K., Farrer, M.J., Schulzer, M., Sossi, V., Stoessl, A.J.",12,55667247400| 23008057200| 55090469600| 7202100222| 55508263800| 7005296711| 36237882900| 7005313394| 35380197600| 7005737438| 56276238300| 7004896118,2014,2014-01-01,Movement Disorders,English,12,"Felicio, A.C., Dinelle, K., Agarwal, P.A. and 9 more (...) (2014).In vivo dopaminergic and serotonergic dysfunction in DCTN1 gene mutation carriers. Movement Disorders,29(9) 1197-1201",https://www.scopus.com/record/display.url?eid=2-s2.0-84906064821&origin=resultslist,10.1002/mds.25893,Article,Green,2-s2.0-84906064821,"Mayo Clinic Jacksonville, FL| University of British Columbia",2,60010365| 60010365| 60002333,"The University of British Columbia| The University of British Columbia| Mayo Clinic in Jacksonville, Florida",55667247400,7004896118,7004896118,-,United States| Canada,A. Jon Stoessl
In vivo dopaminergic and serotonergic dysfunction in DCTN1 gene mutation carriers,"Felicio, A.C., Dinelle, K., Agarwal, P.A., Mckenzie, J., Heffernan, N., Road, J.D., Appel-Cresswell, S., Wszolek, Z.K., Farrer, M.J., Schulzer, M., Sossi, V., Stoessl, A.J.",12,55667247400| 23008057200| 55090469600| 7202100222| 55508263800| 7005296711| 36237882900| 7005313394| 35380197600| 7005737438| 56276238300| 7004896118,2014,2014-01-01,Movement Disorders,English,12,"Felicio, A.C., Dinelle, K., Agarwal, P.A. and 9 more (...) (2014).In vivo dopaminergic and serotonergic dysfunction in DCTN1 gene mutation carriers. Movement Disorders,29(9) 1197-1201",https://www.scopus.com/record/display.url?eid=2-s2.0-84906064821&origin=resultslist,10.1002/mds.25893,Article,Green,2-s2.0-84906064821,"Mayo Clinic Jacksonville, FL| University of British Columbia",2,60010365| 60010365| 60002333,"The University of British Columbia| The University of British Columbia| Mayo Clinic in Jacksonville, Florida",55667247400,7004896118,7004896118,-,United States| Canada,Silke Appel-Cresswell
LTD is involved in the formation and maintenance of rat hippocampal CA1 place-cell fields,"Ashby, D.M., Floresco, S.B., Phillips, A.G., McGirr, A., Seamans, J.K., Wang, Y.T.",6,55383579900| 6701799130| 7401658611| 14626745800| 7003907622| 8908521300,2021,2021-12-01,Nature Communications,English,12,"Ashby, D.M., Floresco, S.B., Phillips, A.G. and 3 more (...) (2021).LTD is involved in the formation and maintenance of rat hippocampal CA1 place-cell fields. Nature Communications,12(1)",https://www.scopus.com/record/display.url?eid=2-s2.0-85098632082&origin=resultslist,10.1038/s41467-020-20317-7,Article,Gold|Green,2-s2.0-85098632082,University of British Columbia| University of Calgary,2,60002306| 60192954| 60083635| 60010365| 60010365| 60023077| 60010365| 60000953| 60002306| 60010365,"University of Calgary| Hotchkiss Brain Institute| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| The University of British Columbia| University of British Columbia, Faculty of Medicine| The University of British Columbia| Cumming School of Medicine| University of Calgary| The University of British Columbia",55383579900,8908521300,8908521300,-,Canada,YuTian Wang
LTD is involved in the formation and maintenance of rat hippocampal CA1 place-cell fields,"Ashby, D.M., Floresco, S.B., Phillips, A.G., McGirr, A., Seamans, J.K., Wang, Y.T.",6,55383579900| 6701799130| 7401658611| 14626745800| 7003907622| 8908521300,2021,2021-12-01,Nature Communications,English,12,"Ashby, D.M., Floresco, S.B., Phillips, A.G. and 3 more (...) (2021).LTD is involved in the formation and maintenance of rat hippocampal CA1 place-cell fields. Nature Communications,12(1)",https://www.scopus.com/record/display.url?eid=2-s2.0-85098632082&origin=resultslist,10.1038/s41467-020-20317-7,Article,Gold|Green,2-s2.0-85098632082,University of British Columbia| University of Calgary,2,60002306| 60192954| 60083635| 60010365| 60010365| 60023077| 60010365| 60000953| 60002306| 60010365,"University of Calgary| Hotchkiss Brain Institute| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| The University of British Columbia| University of British Columbia, Faculty of Medicine| The University of British Columbia| Cumming School of Medicine| University of Calgary| The University of British Columbia",55383579900,8908521300,8908521300,-,Canada,Anthony G. Phillips
LTD is involved in the formation and maintenance of rat hippocampal CA1 place-cell fields,"Ashby, D.M., Floresco, S.B., Phillips, A.G., McGirr, A., Seamans, J.K., Wang, Y.T.",6,55383579900| 6701799130| 7401658611| 14626745800| 7003907622| 8908521300,2021,2021-12-01,Nature Communications,English,12,"Ashby, D.M., Floresco, S.B., Phillips, A.G. and 3 more (...) (2021).LTD is involved in the formation and maintenance of rat hippocampal CA1 place-cell fields. Nature Communications,12(1)",https://www.scopus.com/record/display.url?eid=2-s2.0-85098632082&origin=resultslist,10.1038/s41467-020-20317-7,Article,Gold|Green,2-s2.0-85098632082,University of British Columbia| University of Calgary,2,60002306| 60192954| 60083635| 60010365| 60010365| 60023077| 60010365| 60000953| 60002306| 60010365,"University of Calgary| Hotchkiss Brain Institute| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| The University of British Columbia| University of British Columbia, Faculty of Medicine| The University of British Columbia| Cumming School of Medicine| University of Calgary| The University of British Columbia",55383579900,8908521300,8908521300,-,Canada,Jeremy Keith Seamans
"A genetically informed, group fMRI connectivity modeling approach: Application to schizophrenia","Liu, A., Chen, X., Wang, Z.J., Xu, Q., Appel-Cresswell, S., McKeown, M.J.",6,54397386900| 35239533200| 11241026700| 7403743361| 36237882900| 7005375626,2014,2014-03-01,IEEE Transactions on Biomedical Engineering,English,12,"Liu, A., Chen, X., Wang, Z.J. and 3 more (...) (2014).A genetically informed, group fMRI connectivity modeling approach: Application to schizophrenia. IEEE Transactions on Biomedical Engineering,61(3) 946-956",https://www.scopus.com/record/display.url?eid=2-s2.0-84896872870&origin=resultslist,10.1109/TBME.2013.2294151,Article,,2-s2.0-84896872870,Tsinghua University| Chinese Academy of Medical Sciences| University of Illinois at Urbana-Champaign| University of British Columbia,4,60010365| 60000745| 60073478| 60025278| 60010365,The University of British Columbia| University of Illinois Urbana-Champaign| National Laboratory of Medical Molecular Biology Beijing| Tsinghua University| The University of British Columbia,54397386900,7005375626,7403743361,-,China| United States| Canada,Z. Jane Wang
"A genetically informed, group fMRI connectivity modeling approach: Application to schizophrenia","Liu, A., Chen, X., Wang, Z.J., Xu, Q., Appel-Cresswell, S., McKeown, M.J.",6,54397386900| 35239533200| 11241026700| 7403743361| 36237882900| 7005375626,2014,2014-03-01,IEEE Transactions on Biomedical Engineering,English,12,"Liu, A., Chen, X., Wang, Z.J. and 3 more (...) (2014).A genetically informed, group fMRI connectivity modeling approach: Application to schizophrenia. IEEE Transactions on Biomedical Engineering,61(3) 946-956",https://www.scopus.com/record/display.url?eid=2-s2.0-84896872870&origin=resultslist,10.1109/TBME.2013.2294151,Article,,2-s2.0-84896872870,Tsinghua University| Chinese Academy of Medical Sciences| University of Illinois at Urbana-Champaign| University of British Columbia,4,60010365| 60000745| 60073478| 60025278| 60010365,The University of British Columbia| University of Illinois Urbana-Champaign| National Laboratory of Medical Molecular Biology Beijing| Tsinghua University| The University of British Columbia,54397386900,7005375626,7403743361,-,China| United States| Canada,Martin McKeown
"A genetically informed, group fMRI connectivity modeling approach: Application to schizophrenia","Liu, A., Chen, X., Wang, Z.J., Xu, Q., Appel-Cresswell, S., McKeown, M.J.",6,54397386900| 35239533200| 11241026700| 7403743361| 36237882900| 7005375626,2014,2014-03-01,IEEE Transactions on Biomedical Engineering,English,12,"Liu, A., Chen, X., Wang, Z.J. and 3 more (...) (2014).A genetically informed, group fMRI connectivity modeling approach: Application to schizophrenia. IEEE Transactions on Biomedical Engineering,61(3) 946-956",https://www.scopus.com/record/display.url?eid=2-s2.0-84896872870&origin=resultslist,10.1109/TBME.2013.2294151,Article,,2-s2.0-84896872870,Tsinghua University| Chinese Academy of Medical Sciences| University of Illinois at Urbana-Champaign| University of British Columbia,4,60010365| 60000745| 60073478| 60025278| 60010365,The University of British Columbia| University of Illinois Urbana-Champaign| National Laboratory of Medical Molecular Biology Beijing| Tsinghua University| The University of British Columbia,54397386900,7005375626,7403743361,-,China| United States| Canada,Silke Appel-Cresswell
Parcellation of the human hippocampus based on gray matter volume covariance: Replicable results on healthy young adults,"Ge, R., Kot, P., Liu, X., Lang, D.J., Wang, J.Z., Honer, W.G., Vila-Rodriguez, F.",7,55211906100| 57209227554| 57209227673| 7202377295| 11241026700| 7004460814| 24279161600,2019,2019-01-01,Human Brain Mapping,English,11,"Ge, R., Kot, P., Liu, X. and 4 more (...) (2019).Parcellation of the human hippocampus based on gray matter volume covariance: Replicable results on healthy young adults. Human Brain Mapping,40(13) 3738-3752",https://www.scopus.com/record/display.url?eid=2-s2.0-85066905092&origin=resultslist,10.1002/hbm.24628,Article,Bronze|Green,2-s2.0-85066905092,University of British Columbia,1,60010365| 60010365| 60010365| 60010365,The University of British Columbia| The University of British Columbia| The University of British Columbia| The University of British Columbia,55211906100,24279161600,55211906100,-,Canada,Z. Jane Wang
Parcellation of the human hippocampus based on gray matter volume covariance: Replicable results on healthy young adults,"Ge, R., Kot, P., Liu, X., Lang, D.J., Wang, J.Z., Honer, W.G., Vila-Rodriguez, F.",7,55211906100| 57209227554| 57209227673| 7202377295| 11241026700| 7004460814| 24279161600,2019,2019-01-01,Human Brain Mapping,English,11,"Ge, R., Kot, P., Liu, X. and 4 more (...) (2019).Parcellation of the human hippocampus based on gray matter volume covariance: Replicable results on healthy young adults. Human Brain Mapping,40(13) 3738-3752",https://www.scopus.com/record/display.url?eid=2-s2.0-85066905092&origin=resultslist,10.1002/hbm.24628,Article,Bronze|Green,2-s2.0-85066905092,University of British Columbia,1,60010365| 60010365| 60010365| 60010365,The University of British Columbia| The University of British Columbia| The University of British Columbia| The University of British Columbia,55211906100,24279161600,55211906100,-,Canada,Fidel Vila-Rodriguez
The Oral and Fecal Microbiota in a Canadian Cohort of Alzheimer's Disease,"Cirstea, M.S., Kliger, D., Maclellan, A.D., Yu, A.C., Langlois, J., Fan, M., Boroomand, S., Kharazyan, F., Hsiung, R.G.Y., Macvicar, B.A., Chertkow, H., Whitehead, V., Brett Finlay, B., Appel-Cresswell, S.",14,56395068000| 57216652901| 57685003600| 57193851620| 57684791500| 15741062000| 20733631300| 57685003700| 7005203713| 7006717711| 21833830200| 57197483503| 57194962601| 36237882900,2022,2022-01-01,Journal of Alzheimer's Disease,English,11,"Cirstea, M.S., Kliger, D., Maclellan, A.D. and 11 more (...) (2022).The Oral and Fecal Microbiota in a Canadian Cohort of Alzheimer's Disease. Journal of Alzheimer's Disease,87(1) 247-258",https://www.scopus.com/record/display.url?eid=2-s2.0-85129998648&origin=resultslist,10.3233/JAD-215520,Article,,2-s2.0-85129998648,University of British Columbia| University of Toronto| McGill University,3,60010365| 60010365| 60011393| 60010365| 60083635| 60010365| 60010365| 60083635| 60010365| 60023077| 60010365| 60023077| 60002780| 60002494| 60022165| 60002494| 60010365,"The University of British Columbia| The University of British Columbia| Michael Smith Laboratories| The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| University of British Columbia, Faculty of Medicine| The University of British Columbia| University of British Columbia, Faculty of Medicine| Rotman Research Institute| Université McGill| Lady Davis Institute for Medical Research| Université McGill| The University of British Columbia",56395068000,36237882900,57194962601,-,Canada,Brian A. MacVicar
The Oral and Fecal Microbiota in a Canadian Cohort of Alzheimer's Disease,"Cirstea, M.S., Kliger, D., Maclellan, A.D., Yu, A.C., Langlois, J., Fan, M., Boroomand, S., Kharazyan, F., Hsiung, R.G.Y., Macvicar, B.A., Chertkow, H., Whitehead, V., Brett Finlay, B., Appel-Cresswell, S.",14,56395068000| 57216652901| 57685003600| 57193851620| 57684791500| 15741062000| 20733631300| 57685003700| 7005203713| 7006717711| 21833830200| 57197483503| 57194962601| 36237882900,2022,2022-01-01,Journal of Alzheimer's Disease,English,11,"Cirstea, M.S., Kliger, D., Maclellan, A.D. and 11 more (...) (2022).The Oral and Fecal Microbiota in a Canadian Cohort of Alzheimer's Disease. Journal of Alzheimer's Disease,87(1) 247-258",https://www.scopus.com/record/display.url?eid=2-s2.0-85129998648&origin=resultslist,10.3233/JAD-215520,Article,,2-s2.0-85129998648,University of British Columbia| University of Toronto| McGill University,3,60010365| 60010365| 60011393| 60010365| 60083635| 60010365| 60010365| 60083635| 60010365| 60023077| 60010365| 60023077| 60002780| 60002494| 60022165| 60002494| 60010365,"The University of British Columbia| The University of British Columbia| Michael Smith Laboratories| The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| University of British Columbia, Faculty of Medicine| The University of British Columbia| University of British Columbia, Faculty of Medicine| Rotman Research Institute| Université McGill| Lady Davis Institute for Medical Research| Université McGill| The University of British Columbia",56395068000,36237882900,57194962601,-,Canada,Silke Appel-Cresswell
